,MAE,MSE,MAPE,r2
Simple Exponential Smoothing,15.221641298950075,439.2322837145644,0.2350969665720277,-0.05029450263651
Exponential Smoothing,13.16254190360575,309.7146617452124,0.2033139214604243,0.2594087031446124
Holt Model,23.17749804058756,916.3950237729604,0.3096313028741255,-1.191288508149975
ARIMA (monthly),19.12201280983739,705.8016738829103,0.2597967052139619,-0.23128617038586463
